Module,oBDS_Item,completeness,agreement,quality,n_coders,interpretation,n_unique_codes,most_common_code
Modul 5,Item_0,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,439401001
Modul 5,Item_1,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,363346000
Modul 5,Item_2,0.0,,0.0,0,No codes provided,,
Modul 5,Item_3,0.5,1.0,0.5,2,Perfect agreement but incomplete,1.0,900000000000465000
Modul 5,Item_4,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,399687005
Modul 5,Item_5,0.0,,0.0,0,No codes provided,,
Modul 5,Item_6,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,432213005
Modul 5,Item_7,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,373793006
Modul 5,Item_8,1.0,0.5,0.5,4,Complete but disputed,2.0,58147004
Modul 5,Item_9,1.0,0.5,0.5,4,Complete but disputed,3.0,373796003
Modul 5,Item_10,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,363680008
Modul 5,Item_11,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,423827005
Modul 5,Item_12,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,363679005
Modul 5,Item_13,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,16310003
Modul 5,Item_14,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,122458006
Modul 5,Item_15,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,373797007
Modul 5,Item_16,1.0,0.5,0.5,4,Complete but disputed,2.0,702666009
Modul 5,Item_17,1.0,0.5,0.5,4,Complete but disputed,3.0,373799005
Modul 5,Item_18,1.0,0.5,0.5,4,Complete but disputed,3.0,373800009
Modul 5,Item_19,1.0,0.5,0.5,4,Complete but disputed,3.0,371480007
Modul 5,Item_20,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,7771000
Modul 5,Item_21,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,24028007
Modul 5,Item_22,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,51440002
Modul 5,Item_23,1.0,0.5,0.5,4,Complete but disputed,3.0,255561001
Modul 5,Item_24,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,261665006
Modul 5,Item_25,1.0,0.5,0.5,4,Complete but disputed,2.0,396360001
Modul 5,Item_26,1.0,0.5,0.5,4,Complete but disputed,3.0,275904003
Modul 6,Item_27,1.0,0.25,0.25,4,Complete but disputed,4.0,714797009
Modul 6,Item_28,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,439272007
Modul 6,Item_29,0.25,1.0,0.25,1,Single code (no validation),,
Modul 6,Item_30,0.0,,0.0,0,No codes provided,,
Modul 6,Item_31,0.0,,0.0,0,No codes provided,,
Modul 6,Item_32,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,900000000000465000
Modul 6,Item_33,1.0,0.25,0.25,4,Complete but disputed,4.0,373372005
Modul 6,Item_34,0.25,1.0,0.25,1,Single code (no validation),,
Modul 6,Item_35,1.0,0.5,0.5,4,Complete but disputed,3.0,263933003
Modul 6,Item_36,1.0,0.5,0.5,4,Complete but disputed,3.0,384812005
Modul 6,Item_37,1.0,0.5,0.5,4,Complete but disputed,3.0,263843001
Modul 6,Item_38,1.0,0.5,0.5,4,Complete but disputed,3.0,263918006
Modul 6,Item_39,0.75,0.3333333333333333,0.25,3,Low quality,3.0,911753521000004108
Modul 6,Item_40,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,1155705000
Modul 6,Item_41,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,1155708003
Modul 6,Item_42,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,1286893008
Modul 6,Item_43,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,1155707008
Modul 6,Item_44,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,1268929003
Modul 6,Item_45,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,261665006
Modul 6,Item_46,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,385432009
Modul 6,Item_47,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,444025001
Modul 6,Item_48,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,443527007
Modul 6,Item_49,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,444411008
Modul 6,Item_50,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,1264491009
Modul 6,Item_51,1.0,0.5,0.5,4,Complete but disputed,3.0,404684003
Modul 9,Item_52,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,278201002
Modul 9,Item_53,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,410671006
Modul 9,Item_54,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,734841007
Modul 9,Item_55,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,263486008
Modul 10,Item_56,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,445200009
Modul 10,Item_57,1.0,0.25,0.25,4,Complete but disputed,4.0,262061000
Modul 10,Item_58,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_59,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_60,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_61,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_62,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_63,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_64,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_65,1.0,0.5,0.5,4,Complete but disputed,2.0,386053000
Modul 10,Item_66,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_67,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_68,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_69,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_70,0.25,1.0,0.25,1,Single code (no validation),,
Modul 10,Item_71,0.25,1.0,0.25,1,Single code (no validation),,
Modul 11,Item_72,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,371497001
Modul 11,Item_73,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,385421009
Modul 11,Item_74,1.0,0.5,0.5,4,Complete but disputed,3.0,39607008
Modul 11,Item_75,1.0,0.5,0.5,4,Complete but disputed,3.0,272673000
Modul 11,Item_76,1.0,0.5,0.5,4,Complete but disputed,3.0,10200004
Modul 11,Item_77,1.0,0.5,0.5,4,Complete but disputed,3.0,12738006
Modul 11,Item_78,1.0,0.5,0.5,4,Complete but disputed,3.0,59441001
Modul 11,Item_79,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,14016003
Modul 11,Item_80,1.0,0.5,0.5,4,Complete but disputed,3.0,3120008
Modul 11,Item_81,1.0,0.5,0.5,4,Complete but disputed,3.0,15425007
Modul 11,Item_82,1.0,0.25,0.25,4,Complete but disputed,4.0,134315000
Modul 11,Item_83,1.0,0.5,0.5,4,Complete but disputed,3.0,39937001
Modul 11,Item_84,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,74964007
Modul 11,Item_85,1.0,0.5,0.5,4,Complete but disputed,3.0,405843009
Modul 11,Item_86,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,432213005
Modul 12,Item_87,1.0,0.25,0.25,4,Complete but disputed,4.0,103319000
Modul 12,Item_88,0.75,0.3333333333333333,0.25,3,Low quality,3.0,273546003
Modul 12,Item_89,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,425389002
Modul 12,Item_90,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,422512005
Modul 12,Item_91,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,422894000
Modul 12,Item_92,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,423053003
Modul 12,Item_93,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,423237006
Modul 12,Item_94,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,261665006
Modul 13,Item_95,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,387713003
Modul 13,Item_96,1.0,0.5,0.5,4,Complete but disputed,3.0,363703001
Modul 13,Item_97,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,373808002
Modul 13,Item_98,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,363676003
Modul 13,Item_99,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,261004008
Modul 13,Item_100,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,255231005
Modul 13,Item_101,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,74964007
Modul 13,Item_102,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,1287211007
Modul 13,Item_103,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,439272007
Modul 13,Item_104,0.25,1.0,0.25,1,Single code (no validation),,
Modul 13,Item_105,0.25,1.0,0.25,1,Single code (no validation),,
Modul 13,Item_106,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,88797001
Modul 13,Item_107,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,373067005
Modul 13,Item_108,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,261665006
Modul 13,Item_109,0.25,1.0,0.25,1,Single code (no validation),,
Modul 13,Item_110,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,128477000
Modul 13,Item_111,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,75100008
Modul 13,Item_112,1.0,0.5,0.5,4,Complete but disputed,3.0,128477000
Modul 13,Item_113,1.0,0.5,0.5,4,Complete but disputed,2.0,14669001
Modul 13,Item_114,1.0,0.5,0.5,4,Complete but disputed,3.0,8635005
Modul 13,Item_115,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,419076005
Modul 13,Item_116,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,735173007
Modul 13,Item_117,0.5,0.5,0.25,2,Low quality,2.0,236085004
Modul 13,Item_118,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,230690007
Modul 13,Item_119,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,53206008
Modul 13,Item_120,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,37372002
Modul 13,Item_121,0.25,1.0,0.25,1,Single code (no validation),,
Modul 13,Item_122,0.0,,0.0,0,No codes provided,,
Modul 13,Item_123,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,82403002
Modul 13,Item_124,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,236085004
Modul 13,Item_125,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,81060008
Modul 13,Item_126,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,67406007
Modul 13,Item_127,1.0,0.5,0.5,4,Complete but disputed,3.0,772133000
Modul 13,Item_128,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,1163215007
Modul 13,Item_129,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,236089005
Modul 13,Item_130,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,735426009
Modul 13,Item_131,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,64779008
Modul 13,Item_132,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,8765009
Modul 13,Item_133,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,34436003
Modul 13,Item_134,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,355001
Modul 13,Item_135,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,57243009
Modul 13,Item_136,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,95347000
Modul 13,Item_137,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,84114007
Modul 13,Item_138,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,698247007
Modul 13,Item_139,0.25,1.0,0.25,1,Single code (no validation),,
Modul 13,Item_140,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,2776000
Modul 13,Item_141,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,14783006
Modul 13,Item_142,0.75,0.3333333333333333,0.25,3,Low quality,3.0,232413009
Modul 13,Item_143,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,234044007
Modul 13,Item_144,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,89138009
Modul 13,Item_145,0.0,,0.0,0,No codes provided,,
Modul 13,Item_146,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,19220005
Modul 13,Item_147,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,91175000
Modul 13,Item_148,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,26629001
Modul 13,Item_149,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,59927004
Modul 13,Item_150,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,19242006
Modul 13,Item_151,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,234105001
Modul 13,Item_152,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,234109007
Modul 13,Item_153,0.5,0.5,0.25,2,Low quality,2.0,386211005
Modul 13,Item_154,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,46420000
Modul 13,Item_155,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,373409004
Modul 13,Item_156,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,243410003
Modul 13,Item_157,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,22298006
Modul 13,Item_158,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,308896002
Modul 13,Item_159,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,308896002
Modul 13,Item_160,0.0,,0.0,0,No codes provided,,
Modul 13,Item_161,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,16761005
Modul 13,Item_162,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,274144001
Modul 13,Item_163,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,25803005
Modul 13,Item_164,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,75694006
Modul 13,Item_165,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,6072007
Modul 13,Item_166,0.0,,0.0,0,No codes provided,,
Modul 13,Item_167,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,399957001
Modul 13,Item_168,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,48661000
Modul 13,Item_169,0.5,1.0,0.5,2,Perfect agreement but incomplete,1.0,698817002
Modul 13,Item_170,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,58554001
Modul 13,Item_171,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,60046008
Modul 13,Item_172,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,233604007
Modul 13,Item_173,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,36118008
Modul 13,Item_174,1.0,0.5,0.5,4,Complete but disputed,2.0,1162567000
Modul 13,Item_175,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,59282003
Modul 13,Item_176,1.0,0.5,0.5,4,Complete but disputed,2.0,1052239007
Modul 13,Item_177,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,409623005
Modul 13,Item_178,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,19220005
Modul 13,Item_179,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,76571007
Modul 13,Item_180,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,76314005
Modul 13,Item_181,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,302918009
Modul 13,Item_182,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,302215000
Modul 13,Item_183,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,266257000
Modul 13,Item_184,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,82545002
Modul 13,Item_185,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,239160006
Modul 13,Item_186,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,271618001
Modul 14,Item_187,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,1287742003
Modul 14,Item_188,1.0,0.25,0.25,4,Complete but disputed,4.0,262202000
Modul 14,Item_189,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,373808002
Modul 14,Item_190,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,363676003
Modul 14,Item_191,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,373808002
Modul 14,Item_192,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,74964007
Modul 14,Item_193,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,1287211007
Modul 14,Item_194,0.0,,0.0,0,No codes provided,,
Modul 14,Item_195,0.0,,0.0,0,No codes provided,,
Modul 14,Item_196,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,373846009
Modul 14,Item_197,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,373847000
Modul 14,Item_198,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,277671009
Modul 14,Item_199,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,260364009
Modul 14,Item_200,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,74964007
Modul 14,Item_201,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,405813007
Modul 14,Item_202,0.0,,0.0,0,No codes provided,,
Modul 14,Item_203,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,21483005
Modul 14,Item_204,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,258335003
Modul 14,Item_205,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,119235005
Modul 14,Item_206,1.0,0.5,0.5,4,Complete but disputed,2.0,389079005
Modul 14,Item_207,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,56329008
Modul 14,Item_208,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,74964007
Modul 14,Item_209,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,774007
Modul 14,Item_210,1.0,0.5,0.5,4,Complete but disputed,2.0,1290032005
Modul 14,Item_211,1.0,0.5,0.5,4,Complete but disputed,2.0,1286894002
Modul 14,Item_212,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,74262004
Modul 14,Item_213,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,117590005
Modul 14,Item_214,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,385294005
Modul 14,Item_215,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,54066008
Modul 14,Item_216,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,71836000
Modul 14,Item_217,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,31389004
Modul 14,Item_218,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,81502006
Modul 14,Item_219,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,4596009
Modul 14,Item_220,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,69748006
Modul 14,Item_221,1.0,0.5,0.5,4,Complete but disputed,2.0,774007
Modul 14,Item_222,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,51185008
Modul 14,Item_223,1.0,0.5,0.5,4,Complete but disputed,3.0,181131000
Modul 14,Item_224,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,119184005
Modul 14,Item_225,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,78904004
Modul 14,Item_226,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,39607008
Modul 14,Item_227,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,32849002
Modul 14,Item_228,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,72410000
Modul 14,Item_229,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,9875009
Modul 14,Item_230,1.0,0.5,0.5,4,Complete but disputed,2.0,51185008
Modul 14,Item_231,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,818983003
Modul 14,Item_232,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,69695003
Modul 14,Item_233,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,15776009
Modul 14,Item_234,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,10200004
Modul 14,Item_235,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,78961009
Modul 14,Item_236,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,64033007
Modul 14,Item_237,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,23451007
Modul 14,Item_238,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,82849001
Modul 14,Item_239,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,87953007
Modul 14,Item_240,1.0,0.5,0.5,4,Complete but disputed,3.0,822992007
Modul 14,Item_241,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,80581009
Modul 14,Item_242,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,28273000
Modul 14,Item_243,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,28231008
Modul 14,Item_244,1.0,0.5,0.5,4,Complete but disputed,2.0,818983003
Modul 14,Item_245,0.75,0.6666666666666666,0.5,3,Moderate quality,2.0,826984001
Modul 14,Item_246,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,34402009
Modul 14,Item_247,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,53505006
Modul 14,Item_248,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,89837001
Modul 14,Item_249,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,41216001
Modul 14,Item_250,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,40689003
Modul 14,Item_251,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,18911002
Modul 14,Item_252,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,35039007
Modul 14,Item_253,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,71252005
Modul 14,Item_254,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,45292006
Modul 14,Item_255,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,76784001
Modul 14,Item_256,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,3665003
Modul 14,Item_257,1.0,0.5,0.5,4,Complete but disputed,2.0,826984001
Modul 14,Item_258,0.75,1.0,0.75,3,Perfect agreement but incomplete,1.0,113192009
Modul 14,Item_259,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,89546000
Modul 14,Item_260,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,31467002
Modul 14,Item_261,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,363654007
Modul 14,Item_262,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,84667006
Modul 14,Item_263,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,35769007
Modul 14,Item_264,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,73903008
Modul 14,Item_265,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,54735007
Modul 14,Item_266,1.0,0.75,0.75,4,"Excellent (all responded, high agreement)",2.0,113197003
Modul 14,Item_267,1.0,1.0,1.0,4,Perfect (all 4 agree),1.0,56873002
Modul 14,Item_268,1.0,0.5,0.5,4,Complete but disputed,3.0,896747000
Modul 14,Item_269,1.0,0.5,0.5,4,Complete but disputed,3.0,85050009
Modul 14,Item_270,1.0,0.5,0.5,4,Complete but disputed,3.0,299701004
Modul 14,Item_271,1.0,0.5,0.5,4,Complete but disputed,3.0,24097009
Modul 14,Item_272,1.0,0.5,0.5,4,Complete but disputed,3.0,118645006
Modul 14,Item_273,1.0,0.5,0.5,4,Complete but disputed,3.0,28254004
