item_idx,Module,oBDS_Concept,n_coders,n_unique_codes,disagreement,semantic_disagreement,diversity,mdi,mean_distance,max_distance,interpretation,codes,most_common_code,most_common_count
0,Modul 5,Item_0,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['439401001', '439401001', '439401001', '439401001']",439401001,4.0
1,Modul 5,Item_1,3,2.0,0.33333333333333337,0.026666666666666665,0.5,0.22733333333333333,1.3333333333333333,2.0,"Moderate (some disagreement, related concepts)","['372087000', '363346000', '363346000']",363346000,2.0
2,Modul 5,Item_2,0,,,,,,,,No codes,[],,
3,Modul 5,Item_3,2,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['900000000000465000', '900000000000465000']",900000000000465000,2.0
4,Modul 5,Item_4,3,2.0,0.33333333333333337,0.04,0.5,0.2326666666666667,2.0,2.0,"Moderate (some disagreement, related concepts)","['371480007', '399687005', '399687005']",399687005,2.0
5,Modul 5,Item_5,0,,,,,,,,No codes,[],,
6,Modul 5,Item_6,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['432213005', '432213005', '432213005', '432213005']",432213005,4.0
7,Modul 5,Item_7,3,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['373793006', '373793006', '373793006']",373793006,3.0
8,Modul 5,Item_8,4,2.0,0.5,0.13333333333333333,0.3333333333333333,0.33666666666666667,6.666666666666667,9.0,"Difficult (divergent codes, semantic distance)","['58147004', '373795004', '373795004', '58147004']",58147004,2.0
9,Modul 5,Item_9,4,3.0,0.5,0.12333333333333334,0.6666666666666666,0.366,6.166666666666667,8.0,"Difficult (divergent codes, semantic distance)","['165197003', '373796003', '373796003', '39154008']",373796003,2.0
10,Modul 5,Item_10,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['363680008', '363680008', '363680008', '363680008']",363680008,4.0
11,Modul 5,Item_11,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['423827005', '423827005', '423827005', '423827005']",423827005,4.0
12,Modul 5,Item_12,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['363679005', '363679005', '363679005', '363679005']",363679005,4.0
13,Modul 5,Item_13,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['16310003', '16310003', '16310003', '16310003']",16310003,4.0
14,Modul 5,Item_14,4,2.0,0.25,0.03,0.3333333333333333,0.17033333333333334,1.5,2.0,"Moderate (some disagreement, related concepts)","['76145000', '122458006', '122458006', '122458006']",122458006,3.0
15,Modul 5,Item_15,4,2.0,0.25,0.09,0.3333333333333333,0.19433333333333333,4.5,7.0,"Moderate (some disagreement, related concepts)","['259672007', '373797007', '373797007', '373797007']",373797007,3.0
16,Modul 5,Item_16,4,2.0,0.5,0.12,0.3333333333333333,0.3313333333333333,6.0,8.0,"Difficult (divergent codes, semantic distance)","['702666009', '373798002', '373798002', '702666009']",702666009,2.0
17,Modul 5,Item_17,4,3.0,0.5,0.12,0.6666666666666666,0.36466666666666664,6.0,8.0,"Difficult (divergent codes, semantic distance)","['714797009', '373799005', '373799005', '396785008']",373799005,2.0
18,Modul 5,Item_18,4,3.0,0.5,0.12,0.6666666666666666,0.36466666666666664,6.0,8.0,"Difficult (divergent codes, semantic distance)","['714797009', '373800009', '373800009', '512001000004108']",373800009,2.0
19,Modul 5,Item_19,4,3.0,0.5,0.07333333333333333,0.6666666666666666,0.346,3.6666666666666665,6.0,"Difficult (divergent codes, semantic distance)","['371480007', '399687005', '371480007', '272424004']",371480007,2.0
20,Modul 5,Item_20,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['7771000', '7771000', '7771000', '7771000']",7771000,4.0
21,Modul 5,Item_21,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['24028007', '24028007', '24028007', '24028007']",24028007,4.0
22,Modul 5,Item_22,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['51440002', '51440002', '51440002', '51440002']",51440002,4.0
23,Modul 5,Item_23,4,3.0,0.5,0.07,0.6666666666666666,0.3446666666666667,3.5,5.0,"Difficult (divergent codes, semantic distance)","['255561001', '260528009', '255561001', '399488007']",255561001,2.0
24,Modul 5,Item_24,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['261665006', '261665006', '261665006', '261665006']",261665006,4.0
25,Modul 5,Item_25,4,2.0,0.5,0.12,0.3333333333333333,0.3313333333333333,6.0,8.0,"Difficult (divergent codes, semantic distance)","['396360001', '385432009', '396360001', '385432009']",396360001,2.0
26,Modul 5,Item_26,4,3.0,0.5,0.08666666666666666,0.6666666666666666,0.35133333333333333,4.333333333333333,7.0,"Difficult (divergent codes, semantic distance)","['275904003', '266987004', '275904003', '48318009']",275904003,2.0
27,Modul 6,Item_27,4,4.0,0.75,0.12,1.0,0.523,6.0,8.0,"Difficult (divergent codes, semantic distance)","['714797009', '396984004', '726739006', '309162003']",714797009,1.0
28,Modul 6,Item_28,3,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['439272007', '439272007', '439272007']",439272007,3.0
29,Modul 6,Item_29,1,,,,,,,,Insufficient coders,['372274003'],,
30,Modul 6,Item_30,0,,,,,,,,No codes,[],,
31,Modul 6,Item_31,0,,,,,,,,No codes,[],,
32,Modul 6,Item_32,3,2.0,0.33333333333333337,0.13333333333333333,0.5,0.27,6.666666666666667,9.0,"Moderate (some disagreement, related concepts)","['900000000000465000', '116676008', '900000000000465000']",900000000000465000,2.0
33,Modul 6,Item_33,4,4.0,0.75,0.09666666666666666,1.0,0.5136666666666667,4.833333333333333,7.0,"Difficult (divergent codes, semantic distance)","['373372005', '371469007', '370114008', '258349007']",373372005,1.0
34,Modul 6,Item_34,1,,,,,,,,Insufficient coders,['313147000'],,
35,Modul 6,Item_35,4,3.0,0.5,0.1,0.6666666666666666,0.3566666666666667,5.0,8.0,"Difficult (divergent codes, semantic distance)","['263933003', '373375007', '1155701009', '263933003']",263933003,2.0
36,Modul 6,Item_36,4,3.0,0.5,0.1,0.6666666666666666,0.3566666666666667,5.0,8.0,"Difficult (divergent codes, semantic distance)","['384812005', '373377004', '1155703007', '384812005']",384812005,2.0
37,Modul 6,Item_37,4,3.0,0.5,0.1,0.6666666666666666,0.3566666666666667,5.0,8.0,"Difficult (divergent codes, semantic distance)","['263843001', '373373000', '1155704001', '263843001']",263843001,2.0
38,Modul 6,Item_38,4,3.0,0.5,0.1,0.6666666666666666,0.3566666666666667,5.0,8.0,"Difficult (divergent codes, semantic distance)","['263918006', '373374006', '1155702002', '263918006']",263918006,2.0
39,Modul 6,Item_39,3,3.0,0.6666666666666667,0.09333333333333334,1.0,0.4706666666666667,4.666666666666667,7.0,"Difficult (divergent codes, semantic distance)","['911753521000004108', '860746006', '93974005']",911753521000004108,1.0
40,Modul 6,Item_40,3,2.0,0.33333333333333337,0.09333333333333334,0.5,0.254,4.666666666666667,6.0,"Moderate (some disagreement, related concepts)","['1155705000', '1155705000', '373068000']",1155705000,2.0
41,Modul 6,Item_41,4,2.0,0.25,0.1,0.3333333333333333,0.19833333333333333,5.0,8.0,"Moderate (some disagreement, related concepts)","['1155708003', '399415002', '1155708003', '1155708003']",1155708003,3.0
42,Modul 6,Item_42,3,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['1286893008', '1286893008', '1286893008']",1286893008,3.0
43,Modul 6,Item_43,4,2.0,0.25,0.1,0.3333333333333333,0.19833333333333333,5.0,8.0,"Moderate (some disagreement, related concepts)","['1155707008', '399611001', '1155707008', '1155707008']",1155707008,3.0
44,Modul 6,Item_44,4,2.0,0.25,0.09,0.3333333333333333,0.19433333333333333,4.5,7.0,"Moderate (some disagreement, related concepts)","['1268929003', '1268929003', '1268929003', '371932001']",1268929003,3.0
45,Modul 6,Item_45,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['261665006', '261665006', '261665006', '261665006']",261665006,4.0
46,Modul 6,Item_46,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['385432009', '385432009', '385432009', '385432009']",385432009,4.0
47,Modul 6,Item_47,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['444025001', '444025001', '444025001', '444025001']",444025001,4.0
48,Modul 6,Item_48,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['443527007', '443527007', '443527007', '443527007']",443527007,4.0
49,Modul 6,Item_49,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['444411008', '444411008', '444411008', '444411008']",444411008,4.0
50,Modul 6,Item_50,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['1264491009', '1264491009', '1264491009', '1264491009']",1264491009,4.0
51,Modul 6,Item_51,4,3.0,0.5,0.09333333333333334,0.6666666666666666,0.354,4.666666666666667,6.0,"Difficult (divergent codes, semantic distance)","['404684003', '404684003', '900000000000465000', '394617004']",404684003,2.0
52,Modul 9,Item_52,3,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['278201002', '278201002', '278201002']",278201002,3.0
53,Modul 9,Item_53,3,2.0,0.33333333333333337,0.13333333333333333,0.5,0.27,6.666666666666667,9.0,"Moderate (some disagreement, related concepts)","['410672004', '410671006', '410671006']",410671006,2.0
54,Modul 9,Item_54,3,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['734841007', '734841007', '734841007']",734841007,3.0
55,Modul 9,Item_55,3,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['263486008', '263486008', '263486008']",263486008,3.0
56,Modul 10,Item_56,4,2.0,0.25,0.13,0.3333333333333333,0.21033333333333332,6.5,11.0,"Moderate (some disagreement, related concepts)","['445200009', '445200009', '445200009', '277062004']",445200009,3.0
57,Modul 10,Item_57,4,4.0,0.75,0.13,1.0,0.527,6.5,9.0,"Difficult (divergent codes, semantic distance)","['262061000', '445200009', '1295388007', '129265001']",262061000,1.0
58,Modul 10,Item_58,1,,,,,,,,Insufficient coders,['1222638005'],,
59,Modul 10,Item_59,1,,,,,,,,Insufficient coders,['1222639002'],,
60,Modul 10,Item_60,1,,,,,,,,Insufficient coders,['1222640000'],,
61,Modul 10,Item_61,1,,,,,,,,Insufficient coders,['264031007'],,
62,Modul 10,Item_62,1,,,,,,,,Insufficient coders,['40413002'],,
63,Modul 10,Item_63,1,,,,,,,,Insufficient coders,['1222641001'],,
64,Modul 10,Item_64,1,,,,,,,,Insufficient coders,['261665006'],,
65,Modul 10,Item_65,4,2.0,0.5,0.10666666666666666,0.3333333333333333,0.326,5.333333333333333,7.0,"Difficult (divergent codes, semantic distance)","['386053000', '445200009', '445200009', '386053000']",386053000,2.0
66,Modul 10,Item_66,1,,,,,,,,Insufficient coders,['1222638005'],,
67,Modul 10,Item_67,1,,,,,,,,Insufficient coders,['1222639002'],,
68,Modul 10,Item_68,1,,,,,,,,Insufficient coders,['1222640000'],,
69,Modul 10,Item_69,1,,,,,,,,Insufficient coders,['264031007'],,
70,Modul 10,Item_70,1,,,,,,,,Insufficient coders,['40413002'],,
71,Modul 10,Item_71,1,,,,,,,,Insufficient coders,['1222641001'],,
72,Modul 11,Item_72,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['371497001', '371497001', '371497001', '371497001']",371497001,4.0
73,Modul 11,Item_73,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['385421009', '385421009', '385421009', '385421009']",385421009,4.0
74,Modul 11,Item_74,4,3.0,0.5,0.09666666666666666,0.6666666666666666,0.35533333333333333,4.833333333333333,7.0,"Difficult (divergent codes, semantic distance)","['39607008', '39607008', '94391008', '258332000']",39607008,2.0
75,Modul 11,Item_75,4,3.0,0.5,0.1,0.6666666666666666,0.3566666666666667,5.0,8.0,"Difficult (divergent codes, semantic distance)","['272673000', '272673000', '94222008', '258333005']",272673000,2.0
76,Modul 11,Item_76,4,3.0,0.5,0.11,0.6666666666666666,0.36066666666666664,5.5,9.0,"Difficult (divergent codes, semantic distance)","['10200004', '10200004', '94381002', '258334004']",10200004,2.0
77,Modul 11,Item_77,4,3.0,0.5,0.11,0.6666666666666666,0.36066666666666664,5.5,9.0,"Difficult (divergent codes, semantic distance)","['12738006', '12738006', '94248000', '313367003']",12738006,2.0
78,Modul 11,Item_78,4,3.0,0.5,0.09333333333333334,0.6666666666666666,0.354,4.666666666666667,7.0,"Difficult (divergent codes, semantic distance)","['59441001', '59441001', '94392001', '258336002']",59441001,2.0
79,Modul 11,Item_79,4,2.0,0.25,0.04333333333333333,0.3333333333333333,0.17566666666666667,2.1666666666666665,3.0,"Moderate (some disagreement, related concepts)","['14016003', '14016003', '94217008', '14016003']",14016003,3.0
80,Modul 11,Item_80,4,3.0,0.5,0.10666666666666666,0.6666666666666666,0.35933333333333334,5.333333333333333,8.0,"Difficult (divergent codes, semantic distance)","['3120008', '3120008', '94493005', '258337006']",3120008,2.0
81,Modul 11,Item_81,4,3.0,0.5,0.10666666666666666,0.6666666666666666,0.35933333333333334,5.333333333333333,8.0,"Difficult (divergent codes, semantic distance)","['15425007', '15425007', '94627008', '258338001']",15425007,2.0
82,Modul 11,Item_82,4,4.0,0.75,0.13333333333333333,1.0,0.5283333333333333,6.666666666666667,8.0,"Difficult (divergent codes, semantic distance)","['134315000', '23451007', '94161006', '258339009']",134315000,1.0
83,Modul 11,Item_83,4,3.0,0.5,0.09,0.6666666666666666,0.35266666666666663,4.5,7.0,"Difficult (divergent codes, semantic distance)","['39937001', '39937001', '94579000', '258340006']",39937001,2.0
84,Modul 11,Item_84,4,2.0,0.25,0.1,0.3333333333333333,0.19833333333333333,5.0,8.0,"Moderate (some disagreement, related concepts)","['74964007', '74964007', '74964007', '258348004']",74964007,3.0
85,Modul 11,Item_85,4,3.0,0.5,0.09333333333333334,0.6666666666666666,0.354,4.666666666666667,10.0,"Difficult (divergent codes, semantic distance)","['60132005', '405843009', '405843009', '128462008']",405843009,2.0
86,Modul 11,Item_86,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['432213005', '432213005', '432213005', '432213005']",432213005,4.0
87,Modul 12,Item_87,4,4.0,0.75,0.08,1.0,0.507,4.0,7.0,"Difficult (divergent codes, semantic distance)","['103319000', '423740007', '424122007', '423690003']",103319000,1.0
88,Modul 12,Item_88,3,3.0,0.6666666666666667,0.12,1.0,0.4813333333333334,6.0,7.0,"Difficult (divergent codes, semantic distance)","['273546003', '423740007', '761869008']",273546003,1.0
89,Modul 12,Item_89,4,2.0,0.25,0.08,0.3333333333333333,0.19033333333333333,4.0,6.0,"Moderate (some disagreement, related concepts)","['761869008', '425389002', '425389002', '425389002']",425389002,3.0
90,Modul 12,Item_90,4,2.0,0.25,0.08,0.3333333333333333,0.19033333333333333,4.0,6.0,"Moderate (some disagreement, related concepts)","['761869008', '422512005', '422512005', '422512005']",422512005,3.0
91,Modul 12,Item_91,4,2.0,0.25,0.08,0.3333333333333333,0.19033333333333333,4.0,6.0,"Moderate (some disagreement, related concepts)","['761869008', '422894000', '422894000', '422894000']",422894000,3.0
92,Modul 12,Item_92,4,2.0,0.25,0.08,0.3333333333333333,0.19033333333333333,4.0,6.0,"Moderate (some disagreement, related concepts)","['761869008', '423053003', '423053003', '423053003']",423053003,3.0
93,Modul 12,Item_93,4,2.0,0.25,0.07,0.3333333333333333,0.18633333333333332,3.5,5.0,"Moderate (some disagreement, related concepts)","['761869008', '423237006', '423237006', '423237006']",423237006,3.0
94,Modul 12,Item_94,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['261665006', '261665006', '261665006', '261665006']",261665006,4.0
95,Modul 13,Item_95,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['387713003', '387713003', '387713003', '387713003']",387713003,4.0
96,Modul 13,Item_96,4,3.0,0.5,0.14666666666666667,0.6666666666666666,0.3753333333333333,7.333333333333333,11.0,"Difficult (divergent codes, semantic distance)","['363703001', '363703001', '363675004', '367565008']",363703001,2.0
97,Modul 13,Item_97,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['373808002', '373808002', '373808002', '373808002']",373808002,4.0
98,Modul 13,Item_98,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['363676003', '363676003', '363676003', '363676003']",363676003,4.0
99,Modul 13,Item_99,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['261004008', '261004008', '261004008', '261004008']",261004008,4.0
100,Modul 13,Item_100,4,2.0,0.25,0.09,0.3333333333333333,0.19433333333333333,4.5,7.0,"Moderate (some disagreement, related concepts)","['255231005', '255231005', '261560009', '255231005']",255231005,3.0
101,Modul 13,Item_101,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['74964007', '74964007', '74964007', '74964007']",74964007,4.0
102,Modul 13,Item_102,3,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['1287211007', '1287211007', '1287211007']",1287211007,3.0
103,Modul 13,Item_103,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['439272007', '439272007', '439272007', '439272007']",439272007,4.0
104,Modul 13,Item_104,1,,,,,,,,Insufficient coders,['387713003'],,
105,Modul 13,Item_105,1,,,,,,,,Insufficient coders,['387713003'],,
106,Modul 13,Item_106,4,2.0,0.25,0.1,0.3333333333333333,0.19833333333333333,5.0,8.0,"Moderate (some disagreement, related concepts)","['88797001', '88797001', '88797001', '263718001']",88797001,3.0
107,Modul 13,Item_107,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['373067005', '373067005', '373067005', '373067005']",373067005,4.0
108,Modul 13,Item_108,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['261665006', '261665006', '261665006', '261665006']",261665006,4.0
109,Modul 13,Item_109,1,,,,,,,,Insufficient coders,['373066001'],,
110,Modul 13,Item_110,3,2.0,0.33333333333333337,0.04,0.5,0.2326666666666667,2.0,2.0,"Moderate (some disagreement, related concepts)","['128477000', '128477000', '118442004']",128477000,2.0
111,Modul 13,Item_111,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['75100008', '75100008', '75100008', '75100008']",75100008,4.0
112,Modul 13,Item_112,4,3.0,0.5,0.11666666666666665,0.6666666666666666,0.3633333333333333,5.833333333333333,11.0,"Difficult (divergent codes, semantic distance)","['405950009', '128477000', '128477000', '303218009']",128477000,2.0
113,Modul 13,Item_113,4,2.0,0.5,0.04,0.3333333333333333,0.29933333333333334,2.0,2.0,"Moderate (some disagreement, related concepts)","['14669001', '14669001', '723189000', '723189000']",14669001,2.0
114,Modul 13,Item_114,4,3.0,0.5,0.04666666666666667,0.6666666666666666,0.3353333333333333,2.3333333333333335,3.0,"Difficult (divergent codes, semantic distance)","['8635005', '8635005', '724726005', '191476005']",8635005,2.0
115,Modul 13,Item_115,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['419076005', '419076005', '419076005', '419076005']",419076005,4.0
116,Modul 13,Item_116,4,2.0,0.25,0.03666666666666667,0.3333333333333333,0.173,1.8333333333333333,2.0,"Moderate (some disagreement, related concepts)","['735173007', '39579001', '735173007', '735173007']",735173007,3.0
117,Modul 13,Item_117,2,2.0,0.5,0.04,1.0,0.366,2.0,2.0,"Difficult (divergent codes, semantic distance)","['236085004', '236087007']",236085004,1.0
118,Modul 13,Item_118,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['230690007', '230690007', '230690007', '230690007']",230690007,4.0
119,Modul 13,Item_119,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['53206008', '53206008', '53206008', '53206008']",53206008,4.0
120,Modul 13,Item_120,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['37372002', '37372002', '37372002', '37372002']",37372002,4.0
121,Modul 13,Item_121,1,,,,,,,,Insufficient coders,['112798008'],,
122,Modul 13,Item_122,0,,,,,,,,No codes,[],,
123,Modul 13,Item_123,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['82403002', '82403002', '82403002', '82403002']",82403002,4.0
124,Modul 13,Item_124,4,2.0,0.25,0.03333333333333333,0.3333333333333333,0.17166666666666666,1.6666666666666667,2.0,"Moderate (some disagreement, related concepts)","['236085004', '236091002', '236085004', '236085004']",236085004,3.0
125,Modul 13,Item_125,4,2.0,0.25,0.05,0.3333333333333333,0.17833333333333334,2.5,3.0,"Moderate (some disagreement, related concepts)","['81060008', '81060008', '81060008', '235823004']",81060008,3.0
126,Modul 13,Item_126,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['67406007', '67406007', '67406007', '67406007']",67406007,4.0
127,Modul 13,Item_127,4,3.0,0.5,0.08,0.6666666666666666,0.3486666666666667,4.0,6.0,"Difficult (divergent codes, semantic distance)","['772133000', '772133000', '724726005', '840321001']",772133000,2.0
128,Modul 13,Item_128,3,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['1163215007', '1163215007', '1163215007']",1163215007,3.0
129,Modul 13,Item_129,4,2.0,0.25,0.04,0.3333333333333333,0.17433333333333334,2.0,2.0,"Moderate (some disagreement, related concepts)","['236089005', '236089005', '236089005', '277540008']",236089005,3.0
130,Modul 13,Item_130,3,2.0,0.33333333333333337,0.05333333333333333,0.5,0.23800000000000004,2.6666666666666665,3.0,"Moderate (some disagreement, related concepts)","['735426009', '735426009', '22883003']",735426009,2.0
131,Modul 13,Item_131,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['64779008', '64779008', '64779008', '64779008']",64779008,4.0
132,Modul 13,Item_132,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['8765009', '8765009', '8765009', '8765009']",8765009,4.0
133,Modul 13,Item_133,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['34436003', '34436003', '34436003', '34436003']",34436003,4.0
134,Modul 13,Item_134,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['355001', '355001', '355001', '355001']",355001,4.0
135,Modul 13,Item_135,4,1.0,0.0,0.04,0.0,0.016,2.0,2.0,"Easy (high agreement, close concepts)","['57243009', '57243009', '57243009', '57243009']",57243009,4.0
